id,text
1624798107681669126,"b'@CSpange Ja? Hun mente jo at Oslo kommune skulle drive dette tilbudet?(Ikke akkurat effektivt \xc3\xa5 drifte noe s\xc3\xa5langt unna et sted mellom helt andre regler, men at dette var en d\xc3\xa5rlig id\xc3\xa9 gj\xc3\xb8r det jo ikke mindre offentlig)'"
1624797976735498241,"b'Gr\xc3\xa5/hvit hannkatt savnet i #Jutulveien, #Oslo, #Oslo. https://t.co/fgrkyNjOoH #katt #savnet'"
1624797356876091394,"b'Fra den gangen Jan Thomas og jeg delte p\xc3\xb8lser i Hegdehaugsveien, i Oslo (fra Dplay \xf0\x9f\x93\xba ) https://t.co/LWHPBkE1gU'"
1624796652413362176,"b'Kona til Oslos grunnlegger var fra Kyiv. N\xc3\xa5 f\xc3\xa5r hun endelig et minnesmerke.Kong Harald Hardr\xc3\xa5des kone, Ellisiv av Kyiv, f\xc3\xa5r n\xc3\xa5 et minnesmerke, p\xc3\xa5 et sv\xc3\xa6rt egnet sted.@visitnorway @VisitOSLO @Oslokommune https://t.co/haikcKlVcE'"
1624796495949037568,b'@GronnLars @jonasaa UUUH!! Glemte ogs\xc3\xa5 \xc3\xa5 si det at Jess Bazaar i Jessheim har Pepsi mango \xf0\x9f\x91\x80 S\xc3\xa5 det er mulig du finner det p\xc3\xa5 noen av disse eksotiske butikkene omkring i Oslo.'
1624796302734229504,"b'Hvis dere vil, @BaneNORSF, kan sikkert bymilj\xc3\xb8etaten i Oslo kurse dere i hvordan sykkelparkeringer skal se ut https://t.co/udFkRl8Pxo'"
1624796058529193984,b'@RebelBeCause Godt det ikke er i Oslo'
1624794598659829761,"b'Ny episode av Konflikt er n\xc3\xa5 ute! \xf0\x9f\xa4\xa9 Ukens episode handler om FNs fredsbevarende styrker. Tune in med doktorgradsstipendiat Sverke Runde Saxegaard og Ebba Lindb\xc3\xa6ck, nestleder i YATA Oslo.Episoden kan du lytte til der du vanligvis h\xc3\xb8rer p\xc3\xa5 podcast!  https://t.co/wMBa8fU36M'"
1624792258011705346,"b'@Disiplin @AlexEliesen @kjell_bolme Sentrale folk, mener huske to av tre, der d\xc3\xb8mt for vold under sine ""aksjoner for ytringsfrihet"", alle husker vel hvordan de uprovosert angrep vektere utenfor R\xc3\xa5dhuset i Oslo. Dette er ekstremisme; de f\xc3\xa5r ikke nok oppmerksomhet p\xc3\xa5 vanlig m\xc3\xa5te og tyr til ekstreme midler.'"
1624791045861957633,"b'\xc2\xabAt skolen er en av de viktigste faktorene for \xc3\xa5 utjevne sosiale forskjeller, er en etablert p\xc3\xa5stand fra politikere b\xc3\xa5de p\xc3\xa5 venstre- og h\xc3\xb8yresiden.Det er en ansvarsfraskrivelse\xc2\xbb. \xf0\x9f\x8e\xafhttps://t.co/4Srpbtyl4L'"
